mb_size:64,h_dim_shared:200,h_dim_CS:200,num_layers_shared:5,num_layers_CS:3,active_fn:tanh,beta:0.1,,(0.6210863846492836, 0.5682881948333819)
mb_size:128,h_dim_shared:100,h_dim_CS:300,num_layers_shared:1,num_layers_CS:1,active_fn:relu,beta:3.0,,(0.6518607315264466, 0.5237834127367741)
mb_size:64,h_dim_shared:50,h_dim_CS:50,num_layers_shared:2,num_layers_CS:2,active_fn:tanh,beta:0.5,,(0.6289835127217207, 0.557882295699493)
mb_size:64,h_dim_shared:100,h_dim_CS:100,num_layers_shared:2,num_layers_CS:2,active_fn:relu,beta:1.0,,(0.6514438709433373, 0.570463466316281)
mb_size:64,h_dim_shared:50,h_dim_CS:200,num_layers_shared:3,num_layers_CS:2,active_fn:tanh,beta:1.0,,(0.6171589159159894, 0.6573122438671679)
mb_size:32,h_dim_shared:300,h_dim_CS:200,num_layers_shared:5,num_layers_CS:2,active_fn:relu,beta:1.0,,(0.6458460864517774, 0.5811260509876995)
mb_size:64,h_dim_shared:200,h_dim_CS:300,num_layers_shared:1,num_layers_CS:1,active_fn:elu,beta:0.5,,(0.6217270144091549, 0.533341325099949)
mb_size:128,h_dim_shared:100,h_dim_CS:300,num_layers_shared:2,num_layers_CS:5,active_fn:elu,beta:1.0,,(0.6416223619991803, 0.6484926510491016)
mb_size:32,h_dim_shared:50,h_dim_CS:100,num_layers_shared:2,num_layers_CS:5,active_fn:tanh,beta:3.0,,(0.5735515860197475, 0.6731722013380229)
mb_size:128,h_dim_shared:50,h_dim_CS:100,num_layers_shared:1,num_layers_CS:3,active_fn:tanh,beta:1.0,,(0.6390961847631753, 0.6509047861349988)
mb_size:32,h_dim_shared:50,h_dim_CS:200,num_layers_shared:2,num_layers_CS:5,active_fn:relu,beta:1.0,,(0.6508524982376103, 0.5774335448754383)
mb_size:64,h_dim_shared:100,h_dim_CS:300,num_layers_shared:1,num_layers_CS:5,active_fn:relu,beta:5.0,,(0.6210377411743343, 0.6444400996044117)
mb_size:32,h_dim_shared:50,h_dim_CS:300,num_layers_shared:3,num_layers_CS:2,active_fn:elu,beta:0.1,,(0.6354036605499743, 0.558494262561228)
mb_size:32,h_dim_shared:300,h_dim_CS:300,num_layers_shared:5,num_layers_CS:5,active_fn:tanh,beta:0.5,,(0.6146571867592967, 0.5430349427112193)
mb_size:128,h_dim_shared:50,h_dim_CS:200,num_layers_shared:5,num_layers_CS:3,active_fn:elu,beta:1.0,,(0.6154892268440437, 0.6558274205801722)
mb_size:128,h_dim_shared:100,h_dim_CS:100,num_layers_shared:5,num_layers_CS:3,active_fn:tanh,beta:0.1,,(0.6099469858987348, 0.5686683904593132)
mb_size:64,h_dim_shared:300,h_dim_CS:100,num_layers_shared:3,num_layers_CS:2,active_fn:relu,beta:1.0,,(0.6408834065989177, 0.5922071566807124)
mb_size:64,h_dim_shared:300,h_dim_CS:100,num_layers_shared:1,num_layers_CS:1,active_fn:relu,beta:5.0,,(0.6358759056372238, 0.538679214968286)
mb_size:32,h_dim_shared:100,h_dim_CS:100,num_layers_shared:2,num_layers_CS:1,active_fn:relu,beta:0.5,,(0.6541441521083975, 0.5424074205481542)
mb_size:64,h_dim_shared:300,h_dim_CS:200,num_layers_shared:3,num_layers_CS:2,active_fn:relu,beta:3.0,,(0.6459772962772478, 0.5882313880364988)
mb_size:128,h_dim_shared:300,h_dim_CS:300,num_layers_shared:3,num_layers_CS:5,active_fn:elu,beta:3.0,,(0.6305039533182921, 0.6633372329017627)
