,5yr B_score,10yr B_score,15yr B_score
Event_1,0.02884717668319392,0.05618294922294575,0.03272838977354197
Event_2,0.07828493621812758,0.08881656764403319,0.07949507792928258
Event_3,0.07742235142912164,0.09675157290388375,0.10088077422658609
